method,K,angle_deg,metric,n,mean,std
Vanilla P1@40k,8,180,RIR_to_GT_RIR_R@5,5,15.158600000000002,0.1470270723370362
Vanilla P1@40k,8,180,RIR_to_GT_RIR_R@10,5,22.651100000000003,0.2811021967185608
Vanilla P1@40k,8,180,RIR_to_geom_R@1,5,3.550580000000001,0.14970222777233472
Vanilla P1@40k,8,180,RIR_to_geom_R@5,5,12.72526,0.10797607605391127
Vanilla P1@40k,8,180,RIR_to_geom_R@10,5,19.94634,0.0731753237095675
Vanilla P1@40k,8,270,T60,5,9.5845,0.01964344674439797
Vanilla P1@40k,8,270,C50,5,1.09018,0.0015336231610144657
Vanilla P1@40k,8,270,EDT,5,43.181799999999996,0.059597692908366105
Vanilla P1@40k,8,270,FD,5,0.32904,0.00027928480087538286
Vanilla P1@40k,8,270,RIR_to_GT_RIR_R@1,5,4.71516,0.10726552568276536
Vanilla P1@40k,8,270,RIR_to_GT_RIR_R@5,5,14.868219999999999,0.13863203814414596
Vanilla P1@40k,8,270,RIR_to_GT_RIR_R@10,5,22.44282,0.2031155508571413
Vanilla P1@40k,8,270,RIR_to_geom_R@1,5,3.78728,0.0953277871347069
Vanilla P1@40k,8,270,RIR_to_geom_R@5,5,12.25182,0.1934583986287492
Vanilla P1@40k,8,270,RIR_to_geom_R@10,5,18.05902,0.057559595203579984
FA B-F@40k,1,0,T60,5,9.5428,0.05426292472766295
FA B-F@40k,1,0,C50,5,1.05592,0.004033236913448097
FA B-F@40k,1,0,EDT,5,41.75382,0.34747229673745317
FA B-F@40k,1,0,FD,5,0.32874,0.0004277849927241315
FA B-F@40k,1,0,RIR_to_GT_RIR_R@1,5,5.16648,0.1661204442565697
FA B-F@40k,1,0,RIR_to_GT_RIR_R@5,5,16.070659999999997,0.2405174172487313
FA B-F@40k,1,0,RIR_to_GT_RIR_R@10,5,23.72102,0.14986467896072136
FA B-F@40k,1,0,RIR_to_geom_R@1,5,4.068160000000001,0.15356641234332452
FA B-F@40k,1,0,RIR_to_geom_R@5,5,13.766760000000001,0.18253301893082224
FA B-F@40k,1,0,RIR_to_geom_R@10,5,20.788999999999998,0.2133449905669216
FA B-F@40k,1,90,T60,5,9.541239999999998,0.05313368046728888
FA B-F@40k,1,90,C50,5,1.0559999999999998,0.004062634613154413
FA B-F@40k,1,90,EDT,5,41.75416,0.34759901898595874
FA B-F@40k,1,90,FD,5,0.32874,0.0004277849927241315
FA B-F@40k,1,90,RIR_to_GT_RIR_R@1,5,5.17594,0.18097912310540137
FA B-F@40k,1,90,RIR_to_GT_RIR_R@5,5,16.08646,0.2531062879503386
FA B-F@40k,1,90,RIR_to_GT_RIR_R@10,5,23.70206,0.15978254910972045
FA B-F@40k,1,90,RIR_to_geom_R@1,5,3.4053999999999993,0.14396907654076269
FA B-F@40k,1,90,RIR_to_geom_R@5,5,11.69952,0.13920692152332065
FA B-F@40k,1,90,RIR_to_geom_R@10,5,17.711840000000002,0.16231471898752792
FA B-F@40k,1,180,T60,5,9.5421,0.05429972375620337
FA B-F@40k,1,180,C50,5,1.05588,0.004070257977082079
FA B-F@40k,1,180,EDT,5,41.75496,0.3472611884446629
FA B-F@40k,1,180,FD,5,0.32874,0.0004277849927241315
FA B-F@40k,1,180,RIR_to_GT_RIR_R@1,5,5.16648,0.17560572883593517
FA B-F@40k,1,180,RIR_to_GT_RIR_R@5,5,16.067520000000002,0.23680111275076435
FA B-F@40k,1,180,RIR_to_GT_RIR_R@10,5,23.705239999999996,0.14944976748058092
FA B-F@40k,1,180,RIR_to_geom_R@1,5,3.71468,0.11840205656997681
FA B-F@40k,1,180,RIR_to_geom_R@5,5,12.6211,0.14349094048057515
FA B-F@40k,1,180,RIR_to_geom_R@10,5,19.719119999999997,0.25605981137226574
FA B-F@40k,1,270,T60,5,9.541920000000001,0.05375208833152426
FA B-F@40k,1,270,C50,5,1.0558999999999998,0.004062634613154413
FA B-F@40k,1,270,EDT,5,41.75599999999999,0.3475417385005715
