method,K,angle_deg,metric,n,mean,std
FA B-F@40k,1,0,RIR_to_GT_RIR_R@5,5,16.070659999999997,0.2405174172487313
FA B-F@40k,1,0,RIR_to_GT_RIR_R@10,5,23.72102,0.14986467896072136
FA B-F@40k,1,0,RIR_to_geom_R@1,5,4.068160000000001,0.15356641234332452
FA B-F@40k,1,0,RIR_to_geom_R@5,5,13.766760000000001,0.18253301893082224
FA B-F@40k,1,0,RIR_to_geom_R@10,5,20.788999999999998,0.2133449905669216
FA B-F@40k,1,45,T60,5,11.0191,0.052377285153012564
FA B-F@40k,1,45,C50,5,1.1649,0.0024647515087732144
FA B-F@40k,1,45,EDT,5,43.78666,0.21003374252724405
FA B-F@40k,1,45,FD,5,0.3346,0.0005787918451395027
FA B-F@40k,1,45,RIR_to_GT_RIR_R@1,5,3.73994,0.10105613786406048
FA B-F@40k,1,45,RIR_to_GT_RIR_R@5,5,12.182419999999999,0.1115955957912317
FA B-F@40k,1,45,RIR_to_GT_RIR_R@10,5,19.009,0.2691103026641676
FA B-F@40k,1,45,RIR_to_geom_R@1,5,3.0771599999999997,0.15300618614944958
FA B-F@40k,1,45,RIR_to_geom_R@5,5,10.216199999999999,0.133252485905517
FA B-F@40k,1,45,RIR_to_geom_R@10,5,15.786659999999998,0.14912854522189894
FA B-F@40k,1,90,T60,5,9.541239999999998,0.05313368046728888
FA B-F@40k,1,90,C50,5,1.0559999999999998,0.004062634613154413
FA B-F@40k,1,90,EDT,5,41.75416,0.34759901898595874
FA B-F@40k,1,90,FD,5,0.32874,0.0004277849927241315
FA B-F@40k,1,90,RIR_to_GT_RIR_R@1,5,5.17594,0.18097912310540137
FA B-F@40k,1,90,RIR_to_GT_RIR_R@5,5,16.08646,0.2531062879503386
FA B-F@40k,1,90,RIR_to_GT_RIR_R@10,5,23.70206,0.15978254910972045
FA B-F@40k,1,90,RIR_to_geom_R@1,5,3.4053999999999993,0.14396907654076269
FA B-F@40k,1,90,RIR_to_geom_R@5,5,11.69952,0.13920692152332065
FA B-F@40k,1,90,RIR_to_geom_R@10,5,17.711840000000002,0.16231471898752792
FA B-F@40k,8,0,T60,5,8.20168,0.017218217097016826
FA B-F@40k,8,0,C50,5,0.9778399999999999,0.0015501612819316766
FA B-F@40k,8,0,EDT,5,38.793060000000004,0.07404233923911349
FA B-F@40k,8,0,FD,5,0.33314,8.944271909998174e-05
FA B-F@40k,8,0,RIR_to_GT_RIR_R@1,5,5.39688,0.06409989859586375
FA B-F@40k,8,0,RIR_to_GT_RIR_R@5,5,16.446279999999998,0.05736158993612274
FA B-F@40k,8,0,RIR_to_GT_RIR_R@10,5,24.19758,0.1638291243949011
FA B-F@40k,8,0,RIR_to_geom_R@1,5,4.184939999999999,0.06545000381970983
FA B-F@40k,8,0,RIR_to_geom_R@5,5,14.091859999999997,0.13249980377343926
FA B-F@40k,8,0,RIR_to_geom_R@10,5,21.10778,0.1552939052248998
FA B-F@40k,8,45,T60,5,9.640179999999999,0.0057625515182079725
FA B-F@40k,8,45,C50,5,1.09054,0.0021536016344719114
FA B-F@40k,8,45,EDT,5,40.901300000000006,0.049693309408812454
FA B-F@40k,8,45,FD,5,0.33975999999999995,0.00015165750888101431
FA B-F@40k,8,45,RIR_to_GT_RIR_R@1,5,3.83462,0.10467720382203564
FA B-F@40k,8,45,RIR_to_GT_RIR_R@5,5,12.365480000000002,0.05420928887192665
FA B-F@40k,8,45,RIR_to_GT_RIR_R@10,5,19.52344,0.19370245997405428
FA B-F@40k,8,45,RIR_to_geom_R@1,5,3.12134,0.05512261786236216
FA B-F@40k,8,45,RIR_to_geom_R@5,5,10.37398,0.1975973355083516
FA B-F@40k,8,45,RIR_to_geom_R@10,5,16.121180000000003,0.15239265730342777
FA B-F@40k,8,90,T60,5,8.201500000000001,0.017149052451957827
FA B-F@40k,8,90,C50,5,0.9779,0.001528070678993624
FA B-F@40k,8,90,EDT,5,38.79568,0.07446211788554098
FA B-F@40k,8,90,FD,5,0.33316,0.00011401754250990124
FA B-F@40k,8,90,RIR_to_GT_RIR_R@1,5,5.3811,0.08857928651778582
FA B-F@40k,8,90,RIR_to_GT_RIR_R@5,5,16.446260000000002,0.06253529403464783
FA B-F@40k,8,90,RIR_to_GT_RIR_R@10,5,24.181800000000003,0.15078068510256873
FA B-F@40k,8,90,RIR_to_geom_R@1,5,3.49064,0.12982375745602204
FA B-F@40k,8,90,RIR_to_geom_R@5,5,12.046719999999999,0.16309738501889004
FA B-F@40k,8,90,RIR_to_geom_R@10,5,18.112679999999997,0.16379049728235112
